num of ratings,avg cost (two people),online_order,table booking,restaurant type,cuisines type,area
40,421.9300695828371,No,No,Quick Bites,"North Indian, South Indian",Jayanagar
44,300.0,No,No,Quick Bites,"North Indian, Chinese, South Indian, Street Food",Malleshwaram
100,400.0,Yes,No,Quick Bites,"Beverages, Desserts",Brookefield
176,300.0,Yes,No,Kiosk,Arabian,Electronic City
506,500.0,Yes,No,Quick Bites,"North Indian, Fast Food, Chinese, Burger",Banashankari
14,300.0,Yes,No,Quick Bites,"North Indian, Chinese",JP Nagar
149,300.0,No,No,Dessert Parlor,"Desserts, Fast Food",Indiranagar
14,400.0,No,No,"Beverage Shop, Dessert Parlor","Desserts, Beverages, Ice Cream",Brigade Road
223,600.0,Yes,No,Casual Dining,"Andhra, North Indian, Chinese",Kammanahalli
50,400.0,Yes,No,Quick Bites,Kerala,HSR
249,500.0,Yes,No,Food Court,"North Indian, Street Food",Brigade Road
11,300.0,No,No,Quick Bites,"South Indian, North Indian",Frazer Town
950,2000.0,No,Yes,Fine Dining,"North Indian, Continental",Malleshwaram
15,400.0,No,No,Quick Bites,"South Indian, Chinese, North Indian",Kalyan Nagar
128,894.1542012763123,Yes,Yes,Casual Dining,"Seafood, Konkan, Mangalorean",Basavanagudi
448,700.0,Yes,No,Casual Dining,"American, Modern Indian, Italian, South Indian",Brigade Road
93,300.0,Yes,No,Quick Bites,"Street Food, North Indian",Malleshwaram
40,200.0,No,No,Quick Bites,Fast Food,Kalyan Nagar
40,400.0,No,No,Food Court,"North Indian, South Indian","Byresandra,Tavarekere,Madiwala"
40,300.0,No,No,Delivery,North Indian,Bellandur
28,300.0,No,No,Quick Bites,"South Indian, North Indian, Chinese","Byresandra,Tavarekere,Madiwala"
10,300.0,Yes,No,Quick Bites,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala"
153,700.0,Yes,No,Casual Dining,"North Indian, Chinese, Seafood",Brigade Road
94,173.04881377077274,No,No,Quick Bites,South Indian,Banashankari
38,300.0,No,No,Quick Bites,"Chinese, Fast Food",Whitefield
26,600.0,Yes,No,Casual Dining,"North Indian, Chinese",Bannerghatta Road
21,350.0,Yes,No,Quick Bites,North Indian,Basavanagudi
339,1300.0,No,Yes,Bar,Korean,Kalyan Nagar
40,300.0,Yes,No,Quick Bites,"Biryani, Hyderabadi, Kebab",Kalyan Nagar
821,1900.0,No,Yes,"Bar, Lounge",Finger Food,Whitefield
162,500.0,No,No,Casual Dining,"North Indian, Chinese",Bannerghatta Road
40,248.0183387311065,Yes,No,Quick Bites,"South Indian, North Indian","Byresandra,Tavarekere,Madiwala"
385,1500.0,No,Yes,Casual Dining,"Singaporean, Chinese, Thai, Malaysian",Electronic City
8,250.0,No,No,Bakery,"Bakery, Desserts",Banashankari
125,270.55721682399934,Yes,No,Quick Bites,Fast Food,"Byresandra,Tavarekere,Madiwala"
115,700.0,Yes,No,Cafe,"BBQ, Continental, Burger, Wraps, Pizza, Cafe",Koramangala 7th Block
40,300.0,No,No,Quick Bites,"South Indian, North Indian",Bellandur
51,500.0,No,No,"Food Court, Casual Dining","Andhra, North Indian, South Indian",Whitefield
7,200.0,No,No,Quick Bites,"South Indian, Chinese, North Indian",Whitefield
40,500.0,Yes,No,Casual Dining,North Indian,Kalyan Nagar
673,200.0,Yes,No,Quick Bites,"Street Food, North Indian",Brookefield
4,300.0,Yes,No,Quick Bites,Biryani,Bannerghatta Road
268,300.0,No,No,Quick Bites,"South Indian, North Indian, Chinese",Jayanagar
244,265.33787206882556,Yes,No,Quick Bites,"North Indian, Street Food",Brigade Road
197,600.0,No,No,Cafe,"Cafe, Beverages",Indiranagar
35,156.18402834288443,Yes,No,Quick Bites,South Indian,Bellandur
438,1099.8841365138337,No,Yes,"Casual Dining, Bar","Cafe, American, Asian, North Indian",HSR
